c_norm,c_norm_lag1,c_norm_lag2,c_norm_lag3,c_norm_lag4,c_norm_lag5,US_ex
0.3317631661,0.286954058,0.2398593241,0.2323049409,0.2530749958,0.3838205473,1.3223456934
0.2833912422,0.3317631661,0.286954058,0.2398593241,0.2323049409,0.2530749958,1.3230539992
0.2295521346,0.2833912422,0.3317631661,0.286954058,0.2398593241,0.2323049409,1.3237707593
0.3288500628,0.2295521346,0.2833912422,0.3317631661,0.286954058,0.2398593241,1.3244873779
0.2294260876,0.3288500628,0.2295521346,0.2833912422,0.3317631661,0.286954058,1.3251965658
0.2913988108,0.2294260876,0.3288500628,0.2295521346,0.2833912422,0.3317631661,1.3258820022
0.255374081,0.2913988108,0.2294260876,0.3288500628,0.2295521346,0.2833912422,1.3265421905
0.2492668015,0.255374081,0.2913988108,0.2294260876,0.3288500628,0.2295521346,1.3272369499
0.2220646209,0.2492668015,0.255374081,0.2913988108,0.2294260876,0.3288500628,1.327907241
0.2272083874,0.2220646209,0.2492668015,0.255374081,0.2913988108,0.2294260876,1.3285509008
0.1703618766,0.2272083874,0.2220646209,0.2492668015,0.255374081,0.2913988108,1.3291668269
0.4350237669,0.1703618766,0.2272083874,0.2220646209,0.2492668015,0.255374081,1.3297410181
0.2831577507,0.4350237669,0.1703618766,0.2272083874,0.2220646209,0.2492668015,1.3303441924
0.2827530197,0.2831577507,0.4350237669,0.1703618766,0.2272083874,0.2220646209,1.3309649427
0.4253531828,0.2827530197,0.2831577507,0.4350237669,0.1703618766,0.2272083874,1.3316412447
0.3508475684,0.4253531828,0.2827530197,0.2831577507,0.4350237669,0.1703618766,1.3323895709
0.2954537581,0.3508475684,0.4253531828,0.2827530197,0.2831577507,0.4350237669,1.3331887112
0.2938545418,0.2954537581,0.3508475684,0.4253531828,0.2827530197,0.2831577507,1.3340212808
0.2534099378,0.2938545418,0.2954537581,0.3508475684,0.4253531828,0.2827530197,1.3349044283
0.2959134353,0.2534099378,0.2938545418,0.2954537581,0.3508475684,0.4253531828,1.3358385206
0.318861798,0.2959134353,0.2534099378,0.2938545418,0.2954537581,0.3508475684,1.3368094936
0.2577401153,0.318861798,0.2959134353,0.2534099378,0.2938545418,0.2954537581,1.3378316076
0.2846725299,0.2577401153,0.318861798,0.2959134353,0.2534099378,0.2938545418,1.3388810128
0.1966637043,0.2846725299,0.2577401153,0.318861798,0.2959134353,0.2534099378,1.3399423625
0.2952143686,0.1966637043,0.2846725299,0.2577401153,0.318861798,0.2959134353,1.3410029444
0.259585134,0.2952143686,0.1966637043,0.2846725299,0.2577401153,0.318861798,1.3420316198
0.2690624943,0.259585134,0.2952143686,0.1966637043,0.2846725299,0.2577401153,1.3430656508
0.3172309456,0.2690624943,0.259585134,0.2952143686,0.1966637043,0.2846725299,1.3441186239
0.2650316779,0.3172309456,0.2690624943,0.259585134,0.2952143686,0.1966637043,1.3451203653
0.2211556483,0.2650316779,0.3172309456,0.2690624943,0.259585134,0.2952143686,1.3461049501
0.2631956771,0.2211556483,0.2650316779,0.3172309456,0.2690624943,0.259585134,1.3470661428
0.2154155384,0.2631956771,0.2211556483,0.2650316779,0.3172309456,0.2690624943,1.34799877
0.1875820672,0.2154155384,0.2631956771,0.2211556483,0.2650316779,0.3172309456,1.3489335267
0.2184124029,0.1875820672,0.2154155384,0.2631956771,0.2211556483,0.2650316779,1.3498014398
0.1984810574,0.2184124029,0.1875820672,0.2154155384,0.2631956771,0.2211556483,1.3506046756
0.1780807394,0.1984810574,0.2184124029,0.1875820672,0.2154155384,0.2631956771,1.3513154156
0.1767725695,0.1780807394,0.1984810574,0.2184124029,0.1875820672,0.2154155384,1.3519650139
0.2041157109,0.1767725695,0.1780807394,0.1984810574,0.2184124029,0.1875820672,1.3525586569
0.3903636465,0.2041157109,0.1767725695,0.1780807394,0.1984810574,0.2184124029,1.3531010063
0.2424908969,0.3903636465,0.2041157109,0.1767725695,0.1780807394,0.1984810574,1.3536252992
0.2153925256,0.2424908969,0.3903636465,0.2041157109,0.1767725695,0.1780807394,1.3540458005
0.2353506806,0.2153925256,0.2424908969,0.3903636465,0.2041157109,0.1767725695,1.354395054
0.2885965838,0.2353506806,0.2153925256,0.2424908969,0.3903636465,0.2041157109,1.3546459112
