S_Log_All_Crisis_Yes,S_Log_Exchange,Date,greece
6.160808,0.382985,20080118,12.4072036809
6.18426,0.3831393,20080119,11.360813009
6.206516,0.3832281,20080120,13.9020474979
6.232242,0.3832583,20080121,12.4072036809
6.257959,0.3832168,20080122,12.5566880626
6.288731,0.3832287,20080123,13.7525631162
6.321434,0.3832403,20080124,13.4535943528
6.354072,0.3832516,20080125,12.5566880626
6.378517,0.3832624,20080126,10.4639067188
6.391603,0.3833515,20080127,13.7525631162
6.401531,0.3834883,20080128,13.9020474979
6.410675,0.3836725,20080129,13.6030787345
6.422207,0.383933,20080130,13.1546255894
6.433712,0.3842595,20080131,12.5566880626
6.444541,0.3846363,20080201,12.855656826
6.446979,0.3850498,20080202,10.6133911005
6.443035,0.3854764,20080203,12.855656826
6.441716,0.3857774,20080204,14.2010162613
6.443696,0.3859801,20080205,13.7525631162
6.449859,0.3859966,20080206,14.4999850247
6.459984,0.385869,20080207,14.6494694064
6.473396,0.3856261,20080208,12.7061724443
6.479441,0.3852922,20080209,11.5102973907
6.481588,0.3848886,20080210,12.5566880626
6.487065,0.3844917,20080211,12.855656826
6.492438,0.3840883,20080212,13.4535943528
6.499721,0.383729,20080213,12.5566880626
6.50849,0.3834357,20080214,14.7989537881
6.519177,0.3831986,20080215,12.855656826
6.530166,0.3830095,20080216,12.2577192992
6.543731,0.3828612,20080217,13.9020474979
6.560835,0.3827935,20080218,14.4999850247
6.577834,0.3827383,20080219,14.2010162613
6.592696,0.3827953,20080220,13.9020474979
6.604954,0.3829508,20080221,12.855656826
6.612059,0.3831846,20080222,12.5566880626
6.611733,0.3834794,20080223,11.8092661541
6.610044,0.3838187,20080224,13.0051412077
6.612813,0.3842357,20080225,14.2010162613
6.615034,0.3848734,20080226,13.6030787345
6.616871,0.3857099,20080227,14.6494694064
6.621086,0.3867089,20080228,14.350500643
6.624355,0.3878295,20080229,13.3041099711
6.621605,0.3890375,20080301,11.8092661541
6.612899,0.3903093,20080302,11.8092661541
6.608263,0.3916301,20080303,13.9020474979
6.605805,0.3930246,20080304,13.6030787345
6.607769,0.3945131,20080305,14.0515318796
6.61344,0.3960479,20080306,14.2010162613
6.623063,0.3976048,20080307,12.5566880626
6.631732,0.3991641,20080308,10.9123598639
6.628158,0.4007331,20080309,12.7061724443
6.623083,0.4022683,20080310,12.855656826
6.618492,0.4038684,20080311,14.7989537881
6.613542,0.4055625,20080312,14.2010162613
6.604621,0.4073285,20080313,13.0051412077
6.599626,0.409135,20080314,12.1082349175
6.584956,0.4109564,20080315,11.0618442456
6.561518,0.4128743,20080316,12.1082349175
6.538963,0.4148631,20080317,13.3041099711
6.522943,0.4167991,20080318,12.7061724443
6.507141,0.4185282,20080319,14.9484381698
6.493002,0.4200918,20080320,13.4535943528
6.485455,0.4215057,20080321,12.4382287413
6.468692,0.4227841,20080322,12.4382287413
6.451519,0.4239058,20080323,12.945911547
6.433871,0.4250189,20080324,14.9766427701
6.418694,0.4262199,20080325,13.9612771586
6.406654,0.4275035,20080326,15.9920083816
6.396327,0.4288164,20080327,15.230484173
6.388472,0.43014,20080328,13.4535943528
6.378627,0.4314589,20080329,12.4382287413
6.371497,0.4327901,20080330,14.4689599643
6.366776,0.4339969,20080331,14.4689599643
6.363726,0.4350929,20080401,14.9766427701
6.354622,0.4361194,20080402,14.9766427701
6.343741,0.4371227,20080403,15.230484173
6.324322,0.4380971,20080404,13.1997529499
6.316275,0.4390385,20080405,13.1997529499
6.286297,0.4399297,20080406,15.230484173
6.265326,0.4407662,20080407,15.4843255759
6.253185,0.4416128,20080408,14.7228013672
6.247451,0.4424213,20080409,14.9766427701
6.248367,0.4432236,20080410,15.4843255759
6.254726,0.4440129,20080411,13.7074357557
6.261182,0.4447839,20080412,12.4382287413
6.265785,0.4455519,20080413,15.230484173
6.273972,0.4462933,20080414,15.4843255759
6.288922,0.4471172,20080415,15.230484173
6.307621,0.4479658,20080416,15.4843255759
6.327704,0.448711,20080417,14.4689599643
6.349621,0.4493649,20080418,14.2151185614
6.365863,0.4499385,20080419,12.945911547
6.378692,0.450529,20080420,14.2151185614
