SQLDATE,S_Log_All_Crisis_Yes,S_Log_Exchange
20091114,7.108786,0.3950318
20091115,7.059659,0.3952871
20091116,7.006604,0.3954816
20091117,6.96944,0.3957324
20091118,6.945841,0.3959693
20091119,6.920671,0.3961691
20091120,6.894878,0.3963369
20091121,6.875442,0.396477
20091122,6.86023,0.396659
20091123,6.853164,0.3968524
20091124,6.852983,0.3971517
20091125,6.859144,0.3975338
20091126,6.868459,0.3978979
20091127,6.879876,0.3982438
20091128,6.889432,0.3985715
20091129,6.897377,0.3989018
20091130,6.910781,0.3993015
01dec2009,6.931593,0.3997261
02dec2009,6.955927,0.4001813
03dec2009,6.981674,0.4005259
04dec2009,7.009656,0.4007775
05dec2009,7.036323,0.4009511
06dec2009,7.059951,0.4010162
07dec2009,7.083474,0.4009392
08dec2009,7.105644,0.4007371
09dec2009,7.126266,0.4004295
10dec2009,7.14649,0.3999611
11dec2009,7.166311,0.3993672
12dec2009,7.17876,0.3986774
13dec2009,7.186669,0.3979471
14dec2009,7.193723,0.3971014
15dec2009,7.200395,0.3962139
16dec2009,7.205784,0.3951215
17dec2009,7.214773,0.393849
18dec2009,7.225564,0.3924432
19dec2009,7.228223,0.3909434
20dec2009,7.223957,0.3894093
21dec2009,7.217349,0.3878093
22dec2009,7.21093,0.3862406
23dec2009,7.202016,0.3847311
24dec2009,7.188344,0.3832845
25dec2009,7.171164,0.3819034
26dec2009,7.149236,0.3805892
27dec2009,7.122634,0.3793597
28dec2009,7.099937,0.378186
29dec2009,7.081328,0.3770413
30dec2009,7.064388,0.3759429
31dec2009,7.045433,0.3748928
20100101,7.021969,0.3738924
20100102,6.994292,0.3729423
20100103,6.966499,0.3721028
20100104,6.944866,0.3713497
20100105,6.929235,0.3706754
20100106,6.918057,0.3700089
20100107,6.910673,0.3693855
20100108,6.909275,0.3688033
20100109,6.905578,0.3682601
20100110,6.898924,0.367878
20100111,6.898582,0.3676212
20100112,6.904788,0.3674471
20100113,6.917729,0.3673321
20100114,6.93353,0.3671953
20100115,6.951763,0.3670423
20100116,6.965961,0.3668777
20100117,6.977406,0.3667054
20100118,6.992708,0.3664538
20100119,7.012166,0.3660171
20100120,7.033007,0.3654433
20100121,7.0541,0.3647983
20100122,7.075191,0.3641019
20100123,7.090193,0.363371
20100124,7.099298,0.3626137
20100125,7.110574,0.3617838
20100126,7.12282,0.3608962
20100127,7.136681,0.359928
20100128,7.151272,0.358816
20100129,7.165861,0.3575985
20100130,7.174813,0.3563077
20100131,7.179911,0.3549951
20100201,7.189289,0.3537144
20100202,7.20263,0.352438
20100203,7.217435,0.3510708
20100204,7.232449,0.3495333
20100205,7.247247,0.3478734
20100206,7.256846,0.3461309
20100207,7.260533,0.3444055
20100208,7.263926,0.3427811
20100209,7.270545,0.3412017
20100210,7.280716,0.3396146
20100211,7.294064,0.338026
20100212,7.307817,0.3364523
20100213,7.313142,0.3349063
20100214,7.313686,0.3333981
20100215,7.316829,0.3320213
20100216,7.32303,0.3306775
20100217,7.331401,0.3293299
20100218,7.339139,0.3279743
20100219,7.34437,0.3266256
20100220,7.343266,0.325296
20100221,7.341396,0.3240336
20100222,7.342461,0.3227991
20100223,7.346687,0.3216284
20100224,7.352742,0.3204471
20100225,7.351321,0.3194046
20100226,7.339001,0.3184851
20100227,7.324404,0.3176742
20100228,7.308584,0.3168536
01mar2010,7.279654,0.3160687
02mar2010,7.250793,0.3154429
03mar2010,7.217428,0.3148351
04mar2010,7.182147,0.3142752
05mar2010,7.148841,0.3137596
06mar2010,7.106864,0.3132851
07mar2010,7.064371,0.3128524
08mar2010,7.017299,0.3124378
09mar2010,6.973859,0.3120951
10mar2010,6.934066,0.3118256
11mar2010,6.895109,0.3116758
12mar2010,6.848401,0.3116245
13mar2010,6.79689,0.3116533
14mar2010,6.729824,0.3116732
15mar2010,6.670328,0.3117629
16mar2010,6.621936,0.3118944
17mar2010,6.579058,0.3119591
18mar2010,6.542768,0.3119152
19mar2010,6.511747,0.3117836
20mar2010,6.473597,0.3115825
21mar2010,6.436482,0.3113278
22mar2010,6.398923,0.3110351
23mar2010,6.366777,0.3105747
24mar2010,6.338383,0.3099809
25mar2010,6.314046,0.3093253
26mar2010,6.300739,0.3086262
27mar2010,6.282636,0.3078989
28mar2010,6.256145,0.3072059
29mar2010,6.229651,0.3065059
30mar2010,6.209474,0.3058941
31mar2010,6.187166,0.3053916
20100401,6.170141,0.3049221
20100402,6.153027,0.304484
20100403,6.140587,0.3040757
20100404,6.114954,0.303695
20100405,6.087806,0.3032598
20100406,6.063316,0.3027746
20100407,6.045111,0.3022506
20100408,6.036048,0.3017809
20100409,6.02811,0.30136
20100410,6.019835,0.3009828
20100411,6.010299,0.3007327
20100412,6.003407,0.3005918
20100413,6.001106,0.300595
20100414,6.000737,0.3006222
20100415,6.008355,0.3006295
20100416,6.014077,0.3006205
20100417,6.017625,0.3005984
20100418,6.022205,0.3005444
20100419,6.036107,0.3004562
20100420,6.064242,0.3002942
20100421,6.102853,0.3000104
20100422,6.146311,0.2996771
20100423,6.198013,0.2993072
20100424,6.251216,0.2989113
20100425,6.297892,0.2984804
20100426,6.348274,0.2979455
20100427,6.389686,0.2972559
20100428,6.423236,0.2965337
20100429,6.46411,0.2958366
20100430,6.509919,0.2951669
01may2010,6.554367,0.2945261
02may2010,6.600668,0.2938252
03may2010,6.649299,0.2929713
04may2010,6.692008,0.2918885
05may2010,6.735834,0.2904741
06may2010,6.760465,0.2888304
07may2010,6.774445,0.2870174
08may2010,6.776575,0.2850854
09may2010,6.767232,0.2831858
10may2010,6.762024,0.2812172
11may2010,6.759655,0.2791548
12may2010,6.755031,0.2769785
13may2010,6.74824,0.2745889
14may2010,6.742662,0.2720504
15may2010,6.735939,0.2694169
16may2010,6.718545,0.2666588
17may2010,6.705351,0.2638755
18may2010,6.69474,0.2610661
19may2010,6.691852,0.2583067
20may2010,6.686189,0.2557798
21may2010,6.683039,0.2534665
22may2010,6.679573,0.2513493
23may2010,6.67605,0.2492768
24may2010,6.663306,0.2471584
25may2010,6.651393,0.2449791
26may2010,6.644023,0.2428909
27may2010,6.631848,0.2408967
28may2010,6.620933,0.2389985
29may2010,6.613428,0.237197
30may2010,6.607781,0.2354919
31may2010,6.597651,0.2337984
20100601,6.591234,0.232082
20100602,6.580992,0.2303537
20100603,6.565967,0.2284718
20100604,6.555706,0.2264843
20100605,6.540474,0.2244311
20100606,6.530172,0.2223127
20100607,6.518712,0.2201928
20100608,6.515827,0.2181343
20100609,6.508638,0.2162009
20100610,6.502606,0.21436
20100611,6.495461,0.2126124
20100612,6.482978,0.210958
